kor,eng,sentence1_kor,sentence1_eng,sentence2_kor,sentence2_eng,sentence3_kor,sentence3_eng
지능,intelligence,지능이 높아요.,His intelligence is high.,그는 높은 지능을 가지고 있어요.,He has high intelligence.,인공 지능은 우리 삶의 많은 측면을 변화시키고 있습니다.,Artificial intelligence is transforming many aspects of our lives.
곤충,insect,곤충을 잡았어요.,I caught an insect.,벌레는 곤충이에요.,A bug is an insect.,일부 곤충은 농작물에 해를 끼치지만, 다른 곤충은 수분에 중요합니다.,Some insects are harmful to crops, while others are important for pollination.
자동차,automobile,자동차를 운전해요.,I drive an automobile.,새로운 자동차를 샀어요.,I bought a new automobile.,자동차 산업은 지난 세기 동안 크게 발전했습니다.,The automobile industry has advanced significantly over the past century.
지역,region,이 지역은 아름다워요.,This region is beautiful.,넓은 지역을 여행했어요.,I traveled a wide region.,이 지역은 독특한 문화와 아름다운 자연경관으로 유명합니다.,This region is famous for its unique culture and beautiful natural landscapes.
기후,climate,기후가 변하고 있어요.,The climate is changing.,온화한 기후를 좋아해요.,I like a mild climate.,기후 변화는 전 세계적으로 심각한 환경 문제를 야기하고 있습니다.,Climate change is causing serious environmental problems worldwide.
보호,protection,환경 보호가 중요해요.,Environmental protection is important.,자신을 보호하세요.,Protect yourself.,정부는 시민의 안전을 위한 보호 조치를 강화했습니다.,The government strengthened protection measures for public safety.
요인,factor,성공의 요인은 무엇인가요?,What is the factor of success?,여러 요인이 결과를 결정해요.,Several factors determine the outcome.,스트레스는 심장병의 주요 위험 요인 중 하나입니다.,Stress is one of the major risk factors for heart disease.
원칙,principle,원칙을 지켜야 해요.,You should follow principles.,기본 원칙을 배웠어요.,I learned basic principles.,그녀는 자신의 도덕적 원칙에 따라 행동했습니다.,She acted according to her moral principles.
이론,theory,새로운 이론을 발표했어요.,I published a new theory.,그의 이론은 논란의 여지가 있어요.,His theory is controversial.,상대성 이론은 현대 물리학의 기초입니다.,The theory of relativity is a cornerstone of modern physics.
노동,labor,노동은 중요해요.,Labor is important.,노동자들이 파업했어요.,The laborers went on strike.,그는 노동 시장의 변화에 대해 연구했습니다.,He researched changes in the labor market.
기능,function,이 기계는 기능을 잘 해요.,This machine functions well.,심장의 기능은 피를 펌프질하는 거예요.,The function of the heart is to pump blood.,이 소프트웨어의 새로운 기능은 사용자 경험을 크게 향상시킵니다.,The new function of this software significantly enhances the user experience.
접근,access,도서관에 접근할 수 있어요.,I have access to the library.,정보에 접근했어요.,I accessed the information.,모든 시민은 기본적인 의료 서비스에 대한 동등한 접근권을 가져야 합니다.,All citizens should have equal access to basic healthcare services.
놀라게하다,alarm,그 소리에 놀랐어요.,I was alarmed by the sound.,경보가 울렸어요.,The alarm rang.,그녀는 갑작스러운 소음에 놀랐습니다.,She was alarmed by the sudden noise.
투쟁,struggle,그는 투쟁했어요.,He struggled.,삶은 투쟁이에요.,Life is a struggle.,그들은 자유를 위한 오랜 투쟁을 벌였습니다.,They waged a long struggle for freedom.
증명하다,prove,그것을 증명할 수 있어요?,Can you prove it?,그는 자신의 주장을 증명했어요.,He proved his point.,그녀는 자신의 결백을 증명하기 위해 모든 노력을 다했습니다.,She did everything to prove her innocence.
저자,author,이 책의 저자는 누구인가요?,Who is the author of this book?,그는 유명한 저자예요.,He is a famous author.,그녀는 베스트셀러 소설의 저자입니다.,She is the author of a bestselling novel.
의뢰인,client,의뢰인을 만났어요.,I met a client.,그는 중요한 의뢰인을 가지고 있어요.,He has an important client.,변호사는 의뢰인의 이익을 보호하기 위해 최선을 다했습니다.,The lawyer did his best to protect his client's interests.
희생자,victim,그는 사고의 희생자예요.,He is a victim of the accident.,희생자들이 많았어요.,There were many victims.,그녀는 범죄의 희생자들을 돕는 자선 단체에서 일합니다.,She works for a charity that helps victims of crime.
재해,disaster,자연 재해가 발생했어요.,A natural disaster occurred.,큰 재앙이었어요.,It was a great disaster.,쓰나미는 해안 지역에 엄청난 재앙을 가져왔습니다.,The tsunami brought a terrible disaster to the coastal areas.
근육,muscle,근육이 아파요.,My muscle hurts.,운동으로 근육을 키웠어요.,I built muscle through exercise.,규칙적인 운동은 강한 근육과 건강한 심장을 유지하는 데 도움이 됩니다.,Regular exercise helps maintain strong muscles and a healthy heart.
악기,instrument,악기를 연주해요.,I play an instrument.,이것은 정밀 기구예요.,This is a precise instrument.,그는 다양한 악기를 연주하는 데 능숙합니다.,He is skilled at playing various musical instruments.
조각품,sculpture,아름다운 조각품을 봤어요.,I saw a beautiful sculpture.,조각을 만들었어요.,I made a sculpture.,그 박물관에는 고대 조각품 컬렉션이 전시되어 있습니다.,The museum displays a collection of ancient sculptures.
효과,impact,그것은 큰 영향을 미쳤어요.,It had a big impact.,환경에 영향을 미쳤어요.,It impacted the environment.,기후 변화는 전 세계에 심각한 영향을 미치고 있습니다.,Climate change is having a severe impact on the entire world.
인기,popularity,그 가수는 인기가 많아요.,That singer has a lot of popularity.,그의 인기가 높아지고 있어요.,His popularity is increasing.,그녀의 새로운 책은 엄청난 인기를 얻었고 베스트셀러가 되었습니다.,Her new book gained immense popularity and became a bestseller.
불가사의,mystery,그것은 불가사의예요.,It's a mystery.,미스터리 소설을 읽었어요.,I read a mystery novel.,그 고대 문명의 멸망은 여전히 풀리지 않는 미스터리입니다.,The collapse of that ancient civilization remains an unsolved mystery.
장소,spot,좋은 장소를 찾았어요.,I found a good spot.,그는 저를 찾아냈어요.,He spotted me.,그녀는 군중 속에서 친구를 즉시 발견했습니다.,She immediately spotted her friend in the crowd.
방송,broadcast,뉴스를 방송했어요.,They broadcast the news.,생방송이었어요.,It was a live broadcast.,그 라디오 방송국은 전 세계로 프로그램을 방송합니다.,The radio station broadcasts its programs worldwide.
칭찬하다,praise,그를 칭찬했어요.,I praised him.,칭찬을 받았어요.,I received praise.,선생님은 학생들의 노력에 대해 아낌없이 칭찬했습니다.,The teacher praised the students generously for their efforts.
연결하다,link,두 도시를 연결했어요.,I linked two cities.,연결이 끊겼어요.,The link was broken.,이 웹사이트는 다른 유용한 자료로 연결되는 링크를 제공합니다.,This website provides links to other useful resources.
훔치다,steal,돈을 훔쳤어요.,He stole money.,그는 제 마음을 훔쳤어요.,He stole my heart.,도둑은 밤에 조용히 침입하여 귀중품을 훔쳤습니다.,The thief quietly broke in during the night and stole valuables.
인류,mankind,인류의 역사를 배웠어요.,I learned the history of mankind.,인류는 진화하고 있어요.,Mankind is evolving.,인류의 미래는 우리가 현재 내리는 결정에 달려 있습니다.,The future of mankind depends on the decisions we make now.
조상,ancestor,제 조상은 한국 사람이에요.,My ancestor is Korean.,우리의 조상은 용감했어요.,Our ancestors were brave.,그녀는 자신의 조상이 이 땅에 처음 정착한 사람들이라는 것을 자랑스러워했습니다.,She was proud that her ancestors were among the first settlers in this land.
혀,tongue,혀가 아파요.,My tongue hurts.,그는 여러 언어를 구사해요.,He speaks many tongues.,그녀는 외국어를 배우는 데 능숙합니다.,She is skilled at learning foreign tongues.
어휘,vocabulary,어휘를 늘리고 싶어요.,I want to increase my vocabulary.,새로운 어휘를 배웠어요.,I learned new vocabulary.,풍부한 어휘는 효과적인 의사소통에 필수적입니다.,A rich vocabulary is essential for effective communication.
부분,section,책의 한 부분을 읽었어요.,I read a section of the book.,이 구역은 조용해요.,This section is quiet.,그는 보고서의 중요한 섹션을 담당했습니다.,He was responsible for a crucial section of the report.
임무,mission,임무를 완수했어요.,I completed the mission.,비밀 임무였어요.,It was a secret mission.,우주 비행사들은 달에 착륙하는 임무를 성공적으로 수행했습니다.,The astronauts successfully carried out their mission to land on the moon.
줄,row,줄을 섰어요.,I stood in a row.,배를 저었어요.,I rowed the boat.,그들은 극장의 맨 앞줄에 앉았습니다.,They sat in the front row of the theater.
보상,reward,보상을 받았어요.,I received a reward.,그는 저에게 보상했어요.,He rewarded me.,그녀의 노력은 결국 큰 보상으로 돌아왔습니다.,Her hard work eventually brought great rewards.
상처,wound,상처를 입었어요.,I got a wound.,상처가 깊었어요.,The wound was deep.,전쟁은 국가에 깊은 상처를 남겼습니다.,The war left deep wounds on the nation.
조사,survey,설문 조사를 했어요.,I conducted a survey.,땅을 조사했어요.,I surveyed the land.,최근 여론 조사는 대중의 의견 변화를 보여줍니다.,A recent survey indicates a shift in public opinion.
대조,contrast,두 그림을 대조했어요.,I contrasted the two pictures.,대조가 뚜렷해요.,The contrast is clear.,그녀의 밝은 성격은 그의 조용한 성격과 뚜렷한 대조를 이룹니다.,Her bright personality stands in stark contrast to his quiet nature.
수행하다,conduct,실험을 수행했어요.,I conducted an experiment.,그의 행동은 훌륭했어요.,His conduct was excellent.,그들은 연구를 수행하기 위해 엄격한 윤리적 지침을 따랐습니다.,They followed strict ethical guidelines to conduct their research.
잡아늘이다,stretch,팔을 뻗었어요.,I stretched my arm.,스트레칭을 했어요.,I did a stretch.,그녀는 유연성을 높이기 위해 매일 스트레칭을 합니다.,She stretches daily to improve her flexibility.
풀어주다,release,새를 풀어줬어요.,I released the bird.,새로운 영화가 개봉했어요.,A new movie was released.,정부는 인질들을 석방하기 위한 협상을 시작했습니다.,The government initiated negotiations for the release of the hostages.
구조,rescue,그를 구조했어요.,I rescued him.,구조대가 왔어요.,The rescue team arrived.,소방관들은 불타는 건물에서 사람들을 구조하기 위해 용감하게 싸웠습니다.,Firefighters bravely fought to rescue people from the burning building.
중독자,addict,그는 게임 중독자예요.,He is a game addict.,마약에 중독되었어요.,He was addicted to drugs.,그는 마약 중독에서 벗어나기 위해 힘든 싸움을 벌였습니다.,He fought a hard battle to overcome his drug addiction.
영혼,soul,영혼은 불멸이에요.,The soul is immortal.,그는 음악에 영혼을 담았어요.,He put his soul into the music.,음악은 종종 인간의 영혼을 깊이 울립니다.,Music often deeply resonates with the human soul.
개성,personality,그녀는 독특한 개성을 가지고 있어요.,She has a unique personality.,그의 성격은 밝아요.,His personality is bright.,그녀의 매력적인 성격은 모든 사람을 끌어당깁니다.,Her charming personality draws everyone to her.
소설,novel,소설을 읽었어요.,I read a novel.,새로운 아이디어를 냈어요.,I came up with a novel idea.,그녀의 첫 소설은 비평가들의 호평을 받았습니다.,Her debut novel received critical acclaim.
문장,passage,책의 한 문장을 읽었어요.,I read a passage from the book.,통로를 지나갔어요.,I went through the passage.,그는 연설에서 중요한 구절을 인용했습니다.,He quoted an important passage in his speech.
개념,concept,이것은 어려운 개념이에요.,This is a difficult concept.,새로운 개념을 배웠어요.,I learned a new concept.,추상적인 개념을 이해하는 것은 때때로 어려울 수 있습니다.,Understanding abstract concepts can sometimes be challenging.
저울,scale,저울로 무게를 쟀어요.,I weighed it on a scale.,규모가 커요.,The scale is large.,그들은 프로젝트의 규모를 확장하기로 결정했습니다.,They decided to expand the scale of the project.
의제,agenda,회의 의제가 있어요.,I have a meeting agenda.,숨겨진 의제가 있었어요.,There was a hidden agenda.,그들은 회의의 의제를 논의하고 다음 단계를 계획했습니다.,They discussed the agenda for the meeting and planned the next steps.
설명,explanation,설명을 해주세요.,Please give me an explanation.,그의 설명은 명확했어요.,His explanation was clear.,그녀는 복잡한 이론에 대한 명확한 설명을 제공했습니다.,She provided a clear explanation of the complex theory.
혁명,revolution,혁명이 일어났어요.,A revolution occurred.,산업 혁명은 사회를 변화시켰어요.,The Industrial Revolution changed society.,기술 혁명은 우리의 삶의 방식을 근본적으로 변화시켰습니다.,The technological revolution has fundamentally changed the way we live.
무기,weapon,무기를 사용했어요.,I used a weapon.,핵무기는 위험해요.,Nuclear weapons are dangerous.,그들은 평화를 유지하기 위해 핵무기 확산을 막으려 노력합니다.,They strive to prevent the proliferation of nuclear weapons to maintain peace.
인내심,patience,인내심을 가지세요.,Have patience.,그는 인내심이 많아요.,He has a lot of patience.,위대한 업적은 종종 엄청난 인내심과 끈기를 요구합니다.,Great achievements often require immense patience and perseverance.
자금,fund,자금을 모금했어요.,I raised funds.,프로젝트에 자금을 제공했어요.,I funded the project.,그들은 새로운 연구 프로젝트를 위한 자금을 확보했습니다.,They secured funds for a new research project.
증인,witness,증인이 필요해요.,I need a witness.,사고를 목격했어요.,I witnessed the accident.,그녀는 범죄의 유일한 목격자였습니다.,She was the sole witness to the crime.
빤히보다,stare,그는 저를 빤히 봤어요.,He stared at me.,왜 그렇게 빤히 봐요?,Why are you staring like that?,그녀는 미지의 물체를 응시하며 설명할 수 없는 감정을 느꼈습니다.,She stared at the unknown object, feeling an inexplicable emotion.
탈것,vehicle,탈것을 운전해요.,I drive a vehicle.,새로운 운송 수단이 필요해요.,We need a new vehicle.,전기차는 미래의 주요 운송 수단이 될 것입니다.,Electric vehicles will be the primary means of transport in the future.
대기,atmosphere,대기가 맑아요.,The atmosphere is clear.,분위기가 좋아요.,The atmosphere is good.,지구의 대기는 생명체가 살 수 있도록 보호합니다.,The Earth's atmosphere protects life.
기초,basis,이것은 기초예요.,This is the basis.,논쟁의 기초가 없어요.,There is no basis for the argument.,그들의 주장은 확고한 증거를 기반으로 합니다.,Their argument is based on solid evidence.
가장자리,edge,가장자리에 앉았어요.,I sat on the edge.,칼날이 날카로워요.,The blade has a sharp edge.,그녀는 절벽 가장자리에 서서 아래 바다를 바라보았습니다.,She stood on the edge of the cliff, looking at the sea below.
치료법,therapy,치료법을 찾았어요.,I found a therapy.,물리 치료를 받았어요.,I received physical therapy.,음악 치료는 정신 건강에 긍정적인 영향을 미칠 수 있습니다.,Music therapy can have a positive impact on mental health.
보험,insurance,보험에 가입했어요.,I bought insurance.,건강 보험이 필요해요.,I need health insurance.,자동차 보험은 사고 발생 시 재정적 보호를 제공합니다.,Car insurance provides financial protection in case of an accident.
10년,decade,10년 동안 살았어요.,I lived for a decade.,지난 10년 동안 많은 변화가 있었어요.,Many changes happened in the last decade.,지난 10년 동안 기술은 놀라운 속도로 발전했습니다.,Technology has advanced at an incredible pace over the last decade.
기쁨,delight,기쁨을 느꼈어요.,I felt delight.,그 소식에 기뻤어요.,I was delighted by the news.,그녀는 손녀의 방문에 큰 기쁨을 느꼈습니다.,She took great delight in her granddaughter's visit.
요금,charge,요금을 지불했어요.,I paid the charge.,책임을 졌어요.,I took charge.,그는 살인 혐의로 기소되었습니다.,He was charged with murder.
목표,aim,목표를 세웠어요.,I set an aim.,목표를 향해 나아갔어요.,I aimed for the goal.,그들의 주요 목표는 빈곤을 줄이는 것입니다.,Their primary aim is to reduce poverty.
요청,request,요청했어요.,I made a request.,도움을 요청했어요.,I requested help.,그녀는 회의에서 발표할 기회를 요청했습니다.,She made a request for an opportunity to present at the conference.
논평,comment,논평을 남겼어요.,I left a comment.,그는 아무 말도 논평하지 않았어요.,He didn't comment on anything.,그녀의 발언은 많은 논평을 불러일으켰습니다.,Her remark drew many comments.
토론,debate,토론을 했어요.,We had a debate.,그들은 정책에 대해 토론했어요.,They debated the policy.,그들은 중요한 사회 문제에 대해 열띤 토론을 벌였습니다.,They engaged in a heated debate on an important social issue.
패배시키다,defeat,적을 패배시켰어요.,I defeated the enemy.,패배를 인정했어요.,I admitted defeat.,그들은 압도적인 적을 상대로 놀라운 승리를 거두었습니다.,They achieved a stunning victory against an overwhelming opponent.
치다,strike,공을 쳤어요.,I struck the ball.,파업을 했어요.,They went on strike.,번개가 나무를 쳤습니다.,Lightning struck the tree.
우주비행사,astronaut,우주비행사가 꿈이에요.,My dream is to be an astronaut.,우주비행사는 우주에 가요.,Astronauts go to space.,우주비행사는 우주 탐사의 최전선에 서 있습니다.,Astronauts stand at the forefront of space exploration.
천재,genius,그는 천재예요.,He is a genius.,천재적인 아이디어를 냈어요.,He came up with a genius idea.,그녀는 수학 분야에서 천재적인 재능을 보여주었습니다.,She displayed a genius for mathematics.
자선,charity,자선 단체에 기부했어요.,I donated to a charity.,자선 사업을 했어요.,I did charity work.,그 자선 단체는 전 세계의 빈곤 퇴치를 위해 노력합니다.,The charity works to alleviate poverty worldwide.
감옥,prison,감옥에 갔어요.,He went to prison.,감옥에서 탈출했어요.,He escaped from prison.,그는 무고하게 감옥에서 10년을 보냈습니다.,He spent ten years in prison for a crime he didn't commit.
시리즈,series,드라마 시리즈를 봤어요.,I watched a drama series.,책 시리즈를 읽었어요.,I read a book series.,그는 새로운 소설 시리즈를 출판할 계획입니다.,He plans to publish a new series of novels.
약속,appointment,약속이 있어요.,I have an appointment.,의사와 약속했어요.,I made an appointment with the doctor.,그녀는 중요한 직책에 임명되었습니다.,She received an appointment to an important position.
좁은길,track,좁은 길을 걸었어요.,I walked on a narrow track.,발자국을 추적했어요.,I tracked the footprints.,그들은 숲 속의 오래된 사냥꾼 길을 따라갔습니다.,They followed the old hunter's track through the forest.
법,code,법을 지켜야 해요.,You must follow the code.,비밀 암호를 사용했어요.,I used a secret code.,새로운 윤리 강령은 모든 직원에게 적용됩니다.,The new code of ethics applies to all employees.
강의,lecture,강의를 들었어요.,I attended a lecture.,교수님이 강의했어요.,The professor lectured.,그녀는 환경 보호에 대한 흥미로운 강의를 했습니다.,She gave an interesting lecture on environmental protection.
도움,aid,도움을 요청했어요.,I asked for aid.,그를 도왔어요.,I aided him.,국제 원조는 재난 지역에 필수적인 지원을 제공합니다.,International aid provides essential support to disaster-stricken areas.
손해,harm,손해를 입혔어요.,I caused harm.,아무도 해치지 않았어요.,I harmed no one.,그녀는 자신의 행동이 다른 사람에게 해를 끼치지 않도록 항상 조심합니다.,She is always careful not to cause harm to others with her actions.
편견,prejudice,편견을 가지지 마세요.,Don't have prejudice.,그는 편견을 가지고 있어요.,He has prejudice.,인종적 편견은 사회의 통합을 방해합니다.,Racial prejudice hinders social cohesion.
옮기다,transfer,돈을 옮겼어요.,I transferred money.,다른 부서로 이동했어요.,I transferred to another department.,환자 이송은 의료진의 신속한 조치를 필요로 합니다.,Patient transfer requires prompt action from medical staff.
매혹하다,fascinate,그 이야기는 저를 매혹했어요.,The story fascinated me.,그녀는 매력적인 미소를 지었어요.,She had a fascinating smile.,고대 문명의 미스터리는 항상 역사가들을 매혹시켜왔습니다.,The mystery of ancient civilizations has always fascinated historians.
좌절시키다,frustrate,그는 저를 좌절시켰어요.,He frustrated me.,좌절감을 느꼈어요.,I felt frustrated.,반복되는 실패는 그를 좌절시켰지만, 그는 포기하지 않았습니다.,Repeated failures frustrated him, but he did not give up.
신원,identity,신원을 확인했어요.,I confirmed his identity.,그녀는 자신의 정체성을 찾고 있어요.,She is searching for her identity.,그녀는 예술을 통해 자신의 문화적 정체성을 표현합니다.,She expresses her cultural identity through art.
물질,substance,이상한 물질을 발견했어요.,I found a strange substance.,이 물질은 독성이 있어요.,This substance is toxic.,그 과학자는 새로운 화학 물질을 합성했습니다.,The scientist synthesized a new chemical substance.
물리학,physics,물리학을 공부해요.,I study physics.,물리학은 어려운 과목이에요.,Physics is a difficult subject.,양자 물리학은 우주의 근본적인 원리를 탐구합니다.,Quantum physics explores the fundamental principles of the universe.
운동,motion,움직임이 없어요.,There is no motion.,지구는 태양 주위를 돌아요.,The Earth is in motion around the sun.,그는 손짓으로 저에게 다가오라고 신호했습니다.,He motioned for me to come closer with a gesture.
실험실,laboratory,실험실에서 실험했어요.,I experimented in the laboratory.,새로운 약을 개발하는 실험실이에요.,It's a laboratory for developing new drugs.,그 과학자들은 최첨단 실험실에서 혁신적인 연구를 수행합니다.,The scientists conduct groundbreaking research in a state-of-the-art laboratory.
결론,conclusion,결론을 내렸어요.,I reached a conclusion.,보고서의 결론을 읽었어요.,I read the conclusion of the report.,그녀는 모든 증거를 검토한 후 논리적인 결론에 도달했습니다.,She reached a logical conclusion after reviewing all the evidence.
구,phrase,이 구의 의미는 무엇인가요?,What is the meaning of this phrase?,재미있는 구절을 사용했어요.,I used a funny phrase.,그녀는 연설에서 인상적인 구절을 사용했습니다.,She used a memorable phrase in her speech.
흥분,excitement,흥분했어요.,I felt excitement.,흥미진진한 경기였어요.,It was an exciting game.,그녀는 새로운 모험에 대한 흥분으로 가득 차 있었습니다.,She was filled with excitement for the new adventure.
기적,miracle,기적이 일어났어요.,A miracle happened.,기적을 믿어요.,I believe in miracles.,그녀는 기적적으로 사고에서 살아남았습니다.,She miraculously survived the accident.
위협,threat,위협을 느꼈어요.,I felt a threat.,테러 위협이 있었어요.,There was a terrorist threat.,기후 변화는 인류에게 심각한 위협이 됩니다.,Climate change poses a serious threat to humanity.
수확,harvest,곡물을 수확했어요.,I harvested grain.,풍성한 수확이었어요.,It was a rich harvest.,농부들은 가을에 농작물을 수확합니다.,Farmers harvest their crops in the autumn.
검토,review,보고서를 검토했어요.,I reviewed the report.,복습을 했어요.,I did a review.,그들은 프로젝트의 진행 상황을 검토하기 위해 회의를 가졌습니다.,They held a meeting to review the progress of the project.
잡아채기,grab,가방을 잡아챘어요.,I grabbed the bag.,빨리 잡아채세요.,Grab it quickly.,그는 서둘러 코트를 움켜쥐고 문 밖으로 나갔습니다.,He quickly grabbed his coat and rushed out the door.
퍼즐,puzzle,퍼즐을 풀었어요.,I solved a puzzle.,그는 저를 혼란시켰어요.,He puzzled me.,그 사건은 경찰에게 풀리지 않는 퍼즐로 남아 있습니다.,The case remains an unsolved puzzle for the police.
주장,claim,그는 자신의 주장을 했어요.,He made his claim.,돈을 요구했어요.,He claimed the money.,그녀는 자신이 무죄라고 강력히 주장했습니다.,She strongly claimed her innocence.
여가,leisure,여가 시간을 즐겨요.,I enjoy my leisure time.,여가 활동을 해요.,I do leisure activities.,그녀는 여가 시간에 책을 읽거나 정원을 가꾸는 것을 좋아합니다.,She enjoys reading books and gardening in her leisure time.
문학,literature,문학을 공부해요.,I study literature.,한국 문학을 좋아해요.,I like Korean literature.,그녀는 고전 문학에 대한 깊은 지식을 가지고 있습니다.,She has a deep knowledge of classical literature.
사생활,privacy,사생활을 존중해요.,I respect privacy.,사생활 보호가 중요해요.,Privacy protection is important.,개인의 사생활을 보호하는 것은 현대 사회에서 중요한 문제입니다.,Protecting individual privacy is an important issue in modern society.
임무,duty,임무를 다했어요.,I fulfilled my duty.,세금을 내야 해요.,You have to pay your duty.,군인은 국가를 방어할 의무가 있습니다.,A soldier's duty is to defend their country.
가난,poverty,가난한 사람들을 도왔어요.,I helped poor people.,가난은 큰 문제예요.,Poverty is a big problem.,그 자선 단체는 전 세계의 빈곤 퇴치를 위해 노력합니다.,The charity works to alleviate poverty worldwide.
정책,policy,새로운 정책을 발표했어요.,They announced a new policy.,정부 정책이 중요해요.,Government policy is important.,정부는 경제 성장을 촉진하기 위한 새로운 정책을 시행했습니다.,The government implemented a new policy to stimulate economic growth.
개선,improvement,개선이 필요해요.,Improvement is needed.,그는 자신의 실력을 개선했어요.,He improved his skills.,기술의 지속적인 개선은 우리의 삶을 더 편리하게 만듭니다.,Continuous improvement in technology makes our lives more convenient.
기대,expectation,기대가 커요.,My expectations are high.,기대에 부응해야 해요.,You have to meet expectations.,그녀는 자신의 능력에 대한 높은 기대를 가지고 있었습니다.,She had high expectations for her own abilities.
환상,fantasy,환상적인 이야기를 읽었어요.,I read a fantasy story.,공상 영화를 봤어요.,I watched a fantasy movie.,그녀는 현실에서 벗어나 환상의 세계로 도피하는 것을 좋아했습니다.,She loved to escape from reality into a world of fantasy.
파괴,destruction,도시가 파괴되었어요.,The city was destroyed.,환경 파괴가 심각해요.,Environmental destruction is serious.,전쟁은 엄청난 파괴와 고통을 가져왔습니다.,The war brought immense destruction and suffering.
편안함,comfort,편안함을 느꼈어요.,I felt comfort.,그녀를 위로했어요.,I comforted her.,그녀는 힘든 시기에 가족에게서 큰 위안을 얻었습니다.,She found great comfort in her family during difficult times.
여기다,regard,그를 친구로 여겨요.,I regard him as a friend.,그는 존경받는 사람이에요.,He is a person of high regard.,그녀는 모든 면에서 존경받는 학자입니다.,She is a respected scholar in every regard.
흔들리다,swing,그네가 흔들렸어요.,The swing swung.,야구 방망이를 휘둘렀어요.,I swung the baseball bat.,그녀는 그네에 앉아 하늘 높이 흔들렸습니다.,She sat on the swing and swung high into the sky.
제조,manufacture,자동차를 제조해요.,They manufacture cars.,제조업이 중요해요.,Manufacturing is important.,그 회사는 고품질 전자 제품을 제조합니다.,The company manufactures high-quality electronic products.
오해하다,misunderstand,오해했어요.,I misunderstood.,그는 저를 오해했어요.,He misunderstood me.,그녀는 그의 침묵을 오해하여 그가 화났다고 생각했습니다.,She misunderstood his silence and thought he was angry.
친구,companion,그는 좋은 친구예요.,He is a good companion.,여행 동반자가 필요해요.,I need a travel companion.,그녀는 평생의 충실한 반려견을 가졌습니다.,She had a faithful canine companion for life.
목적지,destination,목적지에 도착했어요.,I arrived at the destination.,여행 목적지가 어디인가요?,What is your travel destination?,그들은 아름다운 해변 도시를 다음 여행 목적지로 선택했습니다.,They chose a beautiful coastal city as their next travel destination.
소질,aptitude,그는 음악에 소질이 있어요.,He has an aptitude for music.,그녀는 언어에 소질이 있어요.,She has an aptitude for languages.,그녀는 수학과 과학에 뛰어난 소질을 보였습니다.,She showed a remarkable aptitude for mathematics and science.
지위,statue,그는 높은 지위를 가지고 있어요.,He has a high status.,사회적 신분이 중요해요.,Social status is important.,그는 사회에서 존경받는 지위를 얻었습니다.,He achieved a respected status in society.
수단,means,성공의 수단은 무엇인가요?,What is the means to success?,돈이 많아요.,He has a lot of means.,그들은 목표를 달성하기 위한 모든 수단을 동원했습니다.,They employed all available means to achieve their goal.
종교,religion,종교는 다양해요.,Religions are diverse.,그는 종교를 믿어요.,He believes in religion.,종교는 많은 사람들에게 삶의 의미와 목적을 제공합니다.,Religion provides meaning and purpose in life for many people.
칼럼,column,신문 칼럼을 읽었어요.,I read a newspaper column.,기둥이 무너졌어요.,The column collapsed.,그녀는 유명한 신문 칼럼니스트입니다.,She is a well-known newspaper columnist.
이산화탄소,carbon dioxide,이산화탄소는 공기를 오염시켜요.,Carbon dioxide pollutes the air.,이산화탄소 배출량을 줄여야 해요.,We need to reduce carbon dioxide emissions.,식물은 광합성 과정에서 이산화탄소를 흡수합니다.,Plants absorb carbon dioxide during photosynthesis.
거주지,shelter,피난처를 찾았어요.,I found a shelter.,비가 올 때 머물렀어요.,I sheltered when it rained.,그들은 폭풍우로부터 피난처를 찾았습니다.,They sought shelter from the storm.
이익,profit,이익을 얻었어요.,I made a profit.,이 사업은 이익이 많아요.,This business has a lot of profit.,그 회사는 지난 분기에 상당한 이익을 보고했습니다.,The company reported a significant profit last quarter.
독,poison,독이 있어요.,It has poison.,음식을 중독시켰어요.,He poisoned the food.,독사는 먹이를 마비시키기 위해 독을 사용합니다.,The venomous snake uses its poison to paralyze its prey.
화,anger,화가 났어요.,I felt anger.,그녀는 화를 참았어요.,She controlled her anger.,그의 분노는 불의에 대한 깊은 좌절감에서 비롯되었습니다.,His anger stemmed from a deep sense of frustration at the injustice.
흥분시키다,thrill,그 영화는 저를 흥분시켰어요.,The movie thrilled me.,흥분되는 순간이었어요.,It was a thrilling moment.,롤러코스터를 타는 것은 항상 저에게 짜릿함을 줍니다.,Riding a roller coaster always gives me a thrill.
갈등,conflict,갈등이 있었어요.,There was a conflict.,그들은 대립했어요.,They conflicted.,그들의 의견 충돌은 팀 내에 긴장을 유발했습니다.,Their conflict of opinions created tension within the team.
집세,rent,집세를 냈어요.,I paid the rent.,방을 빌렸어요.,I rented a room.,그들은 휴가 동안 해변가 별장을 빌렸습니다.,They rented a beach house for their vacation.
신입생,freshman,저는 신입생이에요.,I am a freshman.,신입생 환영회가 있어요.,There is a freshman orientation.,그는 대학교에서 신입생으로서 새로운 생활을 시작했습니다.,He began his new life as a freshman in college.
시설,facility,좋은 시설이 있어요.,There are good facilities.,그는 재능이 있어요.,He has a facility for learning.,그 스포츠 시설은 최첨단 장비를 갖추고 있습니다.,The sports facility is equipped with state-of-the-art equipment.
